Hour,Checkin_Count
3/31/2022 12AM,0
3/31/2022 1AM,0
3/31/2022 2AM,0
3/31/2022 3AM,0
3/31/2022 4AM,0
3/31/2022 5AM,0
3/31/2022 6AM,33
3/31/2022 7AM,30
3/31/2022 8AM,35
3/31/2022 9AM,24
3/31/2022 10AM,35
3/31/2022 11AM,36
3/31/2022 12PM,43
3/31/2022 1PM,35
3/31/2022 2PM,46
3/31/2022 3PM,40
3/31/2022 4PM,64
3/31/2022 5PM,92
3/31/2022 6PM,165
3/31/2022 7PM,65
3/31/2022 8PM,43
3/31/2022 9PM,18
3/31/2022 10PM,4
3/31/2022 11PM,0
4/1/2022 12AM,0
4/1/2022 1AM,0
4/1/2022 2AM,0
4/1/2022 3AM,0
4/1/2022 4AM,0
4/1/2022 5AM,0
4/1/2022 6AM,34
4/1/2022 7AM,26
4/1/2022 8AM,24
4/1/2022 9AM,24
4/1/2022 10AM,32
4/1/2022 11AM,38
4/1/2022 12PM,45
4/1/2022 1PM,37
4/1/2022 2PM,47
4/1/2022 3PM,46
4/1/2022 4PM,73
4/1/2022 5PM,88
4/1/2022 6PM,147
4/1/2022 7PM,62
4/1/2022 8PM,36
4/1/2022 9PM,18
4/1/2022 10PM,2
4/1/2022 11PM,0
